"Year",0,6,12,18,24,30,36,42,48,52,60,66
2010,0.908,0,0,0,0,0,0,0,0,0,0,0
2020,0.902,0.071,0,0,0,0,0,0,0,0,0,0
2030,0.718,0.262,0.011,0,0,0,0,0,0,0,0,0
2040,0.465,0.428,0.095,0.005,0,0,0,0,0,0,0,0
2050,0.251,0.465,0.23,0.044,0.004,0,0,0,0,0,0,0
2060,0.13,0.389,0.329,0.113,0.032,0.003,0,0,0,0,0,0
2070,0.075,0.289,0.339,0.195,0.072,0.025,0.003,0,0,0,0,0
2080,0.048,0.202,0.303,0.242,0.126,0.056,0.019,0.002,0,0,0,0
2090,0.032,0.143,0.262,0.236,0.174,0.086,0.048,0.015,0.002,0,0,0
2100,0.025,0.105,0.211,0.211,0.194,0.129,0.069,0.037,0.011,0.006,0,0
