Year,0,25,50,75,100,125,150,175,200,500,0,0
2010,0.903,0,0,0,0,0,0,0,0,0,0.903,12.221
2020,0.942,0,0,0,0,0,0,0,0,0,0.942,24.567
2030,0.923,0.051,0,0,0,0,0,0,0,0,0.974,38.968
2040,0.793,0.198,0.001,0,0,0,0,0,0,0,0.992,54.04
2050,0.508,0.453,0.035,0,0,0,0,0,0,0,0.996,70.455
2060,0.235,0.581,0.176,0.007,0,0,0,0,0,0,0.999,88.946
2070,0.094,0.44,0.363,0.099,0.004,0,0,0,0,0,1,111.2
2080,0.033,0.249,0.409,0.224,0.075,0.01,0,0,0,0,1,146.49
2090,0.011,0.128,0.313,0.296,0.162,0.064,0.025,0.001,0,0,1,187.44
2100,0.005,0.071,0.19,0.29,0.219,0.126,0.055,0.034,0.01,0,1,231.73
